Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Congenital Syphilis","2015","Kentucky","21","1","1.8"
"Chlamydia","2019","Kentucky","21","20,911","468.1"
"Chlamydia","2018","Kentucky","21","19,440","435.8"
"Chlamydia","2017","Kentucky","21","19,320","433.9"
"Chlamydia","2016","Kentucky","21","18,286","412.0"
"Chlamydia","2015","Kentucky","21","17,444","394.1"
"Primary and Secondary Syphilis","2019","Louisiana","22","700","15.1"
"Primary and Secondary Syphilis","2018","Louisiana","22","669","14.4"
"Primary and Secondary Syphilis","2017","Louisiana","22","679","14.5"
"Primary and Secondary Syphilis","2016","Louisiana","22","750","16.0"
"Primary and Secondary Syphilis","2015","Louisiana","22","696","14.9"
"Gonorrhea","2019","Louisiana","22","12,800","275.3"
"Gonorrhea","2018","Louisiana","22","12,043","258.5"
"Gonorrhea","2017","Louisiana","22","12,017","257.3"
"Gonorrhea","2016","Louisiana","22","10,782","230.5"
"Gonorrhea","2015","Louisiana","22","10,282","220.4"
"Early Non-Primary, Non-Secondary Syphilis","2019","Louisiana","22","576","12.4"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","576","12.4"
"Early Non-Primary, Non-Secondary Syphilis","2017","Louisiana","22","623","13.3"
"Early Non-Primary, Non-Secondary Syphilis","2016","Louisiana","22","568","12.1"
"Early Non-Primary, Non-Secondary Syphilis","2015","Louisiana","22","439","9.4"
"Congenital Syphilis","2019","Louisiana","22","68","115.4"
"Congenital Syphilis","2018","Louisiana","22","43","72.1"
"Congenital Syphilis","2017","Louisiana","22","57","93.4"
"Congenital Syphilis","2016","Louisiana","22","47","74.4"
"Congenital Syphilis","2015","Louisiana","22","54","83.5"
"Chlamydia","2019","Louisiana","22","36,131","777.2"
"Chlamydia","2018","Louisiana","22","36,293","778.9"
"Chlamydia","2017","Louisiana","22","34,756","744.2"
"Chlamydia","2016","Louisiana","22","31,727","678.2"
"Chlamydia","2015","Louisiana","22","32,325","693.0"
"Primary and Secondary Syphilis","2019","Maine","23","55","4.1"
"Primary and Secondary Syphilis","2018","Maine","23","74","5.5"
"Primary and Secondary Syphilis","2017","Maine","23","65","4.9"
"Primary and Secondary Syphilis","2016","Maine","23","42","3.2"
"Primary and Secondary Syphilis","2015","Maine","23","28","2.1"
"Gonorrhea","2019","Maine","23","547","40.7"
"Gonorrhea","2018","Maine","23","710","53.0"
"Gonorrhea","2017","Maine","23","620","46.5"
"Gonorrhea","2016","Maine","23","451","33.9"
"Gonorrhea","2015","Maine","23","417","31.4"
"Early Non-Primary, Non-Secondary Syphilis","2019","Maine","23","53","3.9"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","43","3.2"
"Early Non-Primary, Non-Secondary Syphilis","2017","Maine","23","36","2.7"
"Early Non-Primary, Non-Secondary Syphilis","2016","Maine","23","6","0.5"
"Early Non-Primary, Non-Secondary Syphilis","2015","Maine","23","10","0.8"
"Congenital Syphilis","2019","Maine","23","0","0.0"
"Congenital Syphilis","2018","Maine","23","0","0.0"
"Congenital Syphilis","2017","Maine","23","0","0.0"
"Congenital Syphilis","2016","Maine","23","0","0.0"
"Congenital Syphilis","2015","Maine","23","0","0.0"
"Chlamydia","2019","Maine","23","3,989","296.8"
"Chlamydia","2018","Maine","23","4,345","324.5"
"Chlamydia","2017","Maine","23","4,555","341.3"
"Chlamydia","2016","Maine","23","4,156","312.2"
"Chlamydia","2015","Maine","23","3,965","298.5"
"Primary and Secondary Syphilis","2019","Maryland","24","868","14.4"
"Primary and Secondary Syphilis","2018","Maryland","24","737","12.2"
"Primary and Secondary Syphilis","2017","Maryland","24","573","9.5"
"Primary and Secondary Syphilis","2016","Maryland","24","509","8.5"
"Primary and Secondary Syphilis","2015","Maryland","24","509","8.5"
"Gonorrhea","2019","Maryland","24","11,598","191.8"
"Gonorrhea","2018","Maryland","24","10,305","170.7"
"Gonorrhea","2017","Maryland","24","10,978","182.2"
"Gonorrhea","2016","Maryland","24","9,523","158.6"
"Gonorrhea","2015","Maryland","24","6,858","114.6"
"Early Non-Primary, Non-Secondary Syphilis","2019","Maryland","24","991","16.4"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","857","14.2"
"Early Non-Primary, Non-Secondary Syphilis","2017","Maryland","24","683","11.3"
"Early Non-Primary, Non-Secondary Syphilis","2016","Maryland","24","598","10.0"
"Early Non-Primary, Non-Secondary Syphilis","2015","Maryland","24","594","9.9"
"Congenital Syphilis","2019","Maryland","24","32","45.6"
"Congenital Syphilis","2018","Maryland","24","29","40.8"
"Congenital Syphilis","2017","Maryland","24","20","27.9"
"Congenital Syphilis","2016","Maryland","24","16","21.9"
"Congenital Syphilis","2015","Maryland","24","18","24.5"
"Chlamydia","2019","Maryland","24","37,779","624.9"
"Chlamydia","2018","Maryland","24","35,482","587.9"
"Chlamydia","2017","Maryland","24","33,416","554.7"
"Chlamydia","2016","Maryland","24","30,658","510.7"
"Chlamydia","2015","Maryland","24","27,450","458.6"
"Primary and Secondary Syphilis","2019","Massachusetts","25","610","8.9"
"Primary and Secondary Syphilis","2018","Massachusetts","25","552","8.0"
"Primary and Secondary Syphilis","2017","Massachusetts","25","538","7.8"
"Primary and Secondary Syphilis","2016","Massachusetts","25","489","7.2"
"Primary and Secondary Syphilis","2015","Massachusetts","25","418","6.2"
"Gonorrhea","2019","Massachusetts","25","7,396","107.3"
"Gonorrhea","2018","Massachusetts","25","8,076","117.3"
"Gonorrhea","2017","Massachusetts","25","7,737","112.8"
"Gonorrhea","2016","Massachusetts","25","4,980","73.0"
"Gonorrhea","2015","Massachusetts","25","3,817","56.2"
"Early Non-Primary, Non-Secondary Syphilis","2019","Massachusetts","25","625","9.1"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","620","9.0"
"Early Non-Primary, Non-Secondary Syphilis","2017","Massachusetts","25","549","8.0"
"Early Non-Primary, Non-Secondary Syphilis","2016","Massachusetts","25","538","7.9"
"Early Non-Primary, Non-Secondary Syphilis","2015","Massachusetts","25","355","5.2"
"Congenital Syphilis","2019","Massachusetts","25","9","13.0"
"Congenital Syphilis","2018","Massachusetts","25","0","0.0"
"Congenital Syphilis","2017","Massachusetts","25","0","0.0"
"Congenital Syphilis","2016","Massachusetts","25","3","4.2"
"Congenital Syphilis","2015","Massachusetts","25","4","5.6"
"Chlamydia","2019","Massachusetts","25","31,622","458.8"
"Chlamydia","2018","Massachusetts","25","30,460","442.6"
"Chlamydia","2017","Massachusetts","25","29,315","427.3"
"Chlamydia","2016","Massachusetts","25","26,807","392.9"
"Chlamydia","2015","Massachusetts","25","24,100","354.7"
"Primary and Secondary Syphilis","2019","Michigan","26","678","6.8"
"Primary and Secondary Syphilis","2018","Michigan","26","649","6.5"
"Primary and Secondary Syphilis","2017","Michigan","26","480","4.8"
"Primary and Secondary Syphilis","2016","Michigan","26","365","3.7"
"Primary and Secondary Syphilis","2015","Michigan","26","403","4.1"
"Gonorrhea","2019","Michigan","26","18,150","181.7"
"Gonorrhea","2018","Michigan","26","16,688","167.1"
"Gonorrhea","2017","Michigan","26","15,742","157.8"
"Gonorrhea","2016","Michigan","26","12,450","125.1"
"Gonorrhea","2015","Michigan","26","10,330","104.0"
"Early Non-Primary, Non-Secondary Syphilis","2019","Michigan","26","558","5.6"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","407","4.1"
"Early Non-Primary, Non-Secondary Syphilis","2017","Michigan","26","330","3.3"
"Early Non-Primary, Non-Secondary Syphilis","2016","Michigan","26","290","2.9"
"Early Non-Primary, Non-Secondary Syphilis","2015","Michigan","26","282","2.8"
"Congenital Syphilis","2019","Michigan","26","17","15.8"
"Congenital Syphilis","2018","Michigan","26","14","12.7"
"Congenital Syphilis","2017","Michigan","26","10","9.0"
"Congenital Syphilis","2016","Michigan","26","13","11.5"
"Congenital Syphilis","2015","Michigan","26","11","9.7"
"Chlamydia","2019","Michigan","26","50,104","501.7"
"Chlamydia","2018","Michigan","26","50,592","506.7"
"Chlamydia","2017","Michigan","26","50,595","507.3"
"Chlamydia","2016","Michigan","26","45,936","461.6"
"Chlamydia","2015","Michigan","26","46,486","468.1"
"Primary and Secondary Syphilis","2019","Minnesota","27","385","6.8"
"Primary and Secondary Syphilis","2018","Minnesota","27","292","5.2"
"Primary and Secondary Syphilis","2017","Minnesota","27","292","5.2"
"Primary and Secondary Syphilis","2016","Minnesota","27","306","5.5"
"Primary and Secondary Syphilis","2015","Minnesota","27","246","4.5"
"Gonorrhea","2019","Minnesota","27","8,013","142.1"
"Gonorrhea","2018","Minnesota","27","7,542","134.5"
"Gonorrhea","2017","Minnesota","27","6,519","117.1"
"Gonorrhea","2016","Minnesota","27","5,104","92.4"
"Gonorrhea","2015","Minnesota","27","4,097","74.7"
"Early Non-Primary, Non-Secondary Syphilis","2019","Minnesota","27","367","6.5"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","286","5.1"
"Early Non-Primary, Non-Secondary Syphilis","2017","Minnesota","27","313","5.6"
"Early Non-Primary, Non-Secondary Syphilis","2016","Minnesota","27","251","4.5"
"Early Non-Primary, Non-Secondary Syphilis","2015","Minnesota","27","185","3.4"
"Congenital Syphilis","2019","Minnesota","27","21","31.8"
"Congenital Syphilis","2018","Minnesota","27","10","14.8"
"Congenital Syphilis","2017","Minnesota","27","2","2.9"
"Congenital Syphilis","2016","Minnesota","27","7","10.0"
"Congenital Syphilis","2015","Minnesota","27","2","2.9"
"Chlamydia","2019","Minnesota","27","24,470","433.9"
"Chlamydia","2018","Minnesota","27","23,569","420.4"
"Chlamydia","2017","Minnesota","27","23,539","422.9"
"Chlamydia","2016","Minnesota","27","22,685","410.8"
"Chlamydia","2015","Minnesota","27","21,243","387.5"
"Primary and Secondary Syphilis","2019","Mississippi","28","690","23.2"
"Primary and Secondary Syphilis","2018","Mississippi","28","464","15.6"
"Primary and Secondary Syphilis","2017","Mississippi","28","310","10.4"
"Primary and Secondary Syphilis","2016","Mississippi","28","326","10.9"
"Primary and Secondary Syphilis","2015","Mississippi","28","219","7.3"
"Gonorrhea","2019","Mississippi","28","12,068","405.5"
"Gonorrhea","2018","Mississippi","28","9,749","327.0"
"Gonorrhea","2017","Mississippi","28","9,258","309.8"
"Gonorrhea","2016","Mississippi","28","7,157","239.5"
"Gonorrhea","2015","Mississippi","28","5,775","193.2"
"Early Non-Primary, Non-Secondary Syphilis","2019","Mississippi","28","1,222","41.1"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","937","31.4"
"Early Non-Primary, Non-Secondary Syphilis","2017","Mississippi","28","555","18.6"
"Early Non-Primary, Non-Secondary Syphilis","2016","Mississippi","28","490","16.4"
"Early Non-Primary, Non-Secondary Syphilis","2015","Mississippi","28","405","13.6"
"Congenital Syphilis","2019","Mississippi","28","3","8.2"
"Congenital Syphilis","2018","Mississippi","28","3","8.1"
"Congenital Syphilis","2017","Mississippi","28","1","2.7"
"Congenital Syphilis","2016","Mississippi","28","2","5.3"
"Congenital Syphilis","2015","Mississippi","28","0","0.0"
"Chlamydia","2019","Mississippi","28","25,303","850.2"
"Chlamydia","2018","Mississippi","28","22,086","740.9"
"Chlamydia","2017","Mississippi","28","21,149","707.7"
"Chlamydia","2016","Mississippi","28","20,112","673.1"
"Chlamydia","2015","Mississippi","28","17,371","581.3"
"Primary and Secondary Syphilis","2019","Missouri","29","817","13.3"
"Primary and Secondary Syphilis","2018","Missouri","29","806","13.2"
"Primary and Secondary Syphilis","2017","Missouri","29","507","8.3"
"Primary and Secondary Syphilis","2016","Missouri","29","400","6.6"
"Primary and Secondary Syphilis","2015","Missouri","29","307","5.1"
"Gonorrhea","2019","Missouri","29","15,585","253.9"
"Gonorrhea","2018","Missouri","29","15,090","246.5"
"Gonorrhea","2017","Missouri","29","13,086","214.3"
"Gonorrhea","2016","Missouri","29","11,479","188.6"
"Gonorrhea","2015","Missouri","29","8,942","147.3"
"Early Non-Primary, Non-Secondary Syphilis","2019","Missouri","29","647","10.5"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","546","8.9"
"Early Non-Primary, Non-Secondary Syphilis","2017","Missouri","29","423","6.9"
"Early Non-Primary, Non-Secondary Syphilis","2016","Missouri","29","276","4.5"
"Early Non-Primary, Non-Secondary Syphilis","2015","Missouri","29","247","4.1"
"Congenital Syphilis","2019","Missouri","29","18","25.0"
"Congenital Syphilis","2018","Missouri","29","18","24.6"
"Congenital Syphilis","2017","Missouri","29","10","13.7"
"Congenital Syphilis","2016","Missouri","29","8","10.7"
"Congenital Syphilis","2015","Missouri","29","4","5.3"
"Chlamydia","2019","Missouri","29","34,416","560.8"
"Chlamydia","2018","Missouri","29","34,728","567.3"
"Chlamydia","2017","Missouri","29","32,683","535.2"
"Chlamydia","2016","Missouri","29","30,843","506.7"
"Chlamydia","2015","Missouri","29","28,948","476.8"
"Primary and Secondary Syphilis","2019","Montana","30","67","6.3"
"Primary and Secondary Syphilis","2018","Montana","30","45","4.2"
"Primary and Secondary Syphilis","2017","Montana","30","48","4.6"
"Primary and Secondary Syphilis","2016","Montana","30","14","1.3"
"Primary and Secondary Syphilis","2015","Montana","30","13","1.3"
"Gonorrhea","2019","Montana","30","1,595","149.2"
"Gonorrhea","2018","Montana","30","1,181","111.3"
"Gonorrhea","2017","Montana","30","782","74.3"
"Gonorrhea","2016","Montana","30","867","83.3"
"Gonorrhea","2015","Montana","30","844","81.9"
"Early Non-Primary, Non-Secondary Syphilis","2019","Montana","30","25","2.3"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","25","2.4"
"Early Non-Primary, Non-Secondary Syphilis","2017","Montana","30","23","2.2"
"Early Non-Primary, Non-Secondary Syphilis","2016","Montana","30","6","0.6"
"Early Non-Primary, Non-Secondary Syphilis","2015","Montana","30","5","0.5"
"Congenital Syphilis","2019","Montana","30","1","9.0"
"Congenital Syphilis","2018","Montana","30","0","0.0"
"Congenital Syphilis","2017","Montana","30","1","8.5"
"Congenital Syphilis","2016","Montana","30","0","0.0"
"Congenital Syphilis","2015","Montana","30","0","0.0"
"Chlamydia","2019","Montana","30","4,753","444.7"
"Chlamydia","2018","Montana","30","4,917","463.6"
"Chlamydia","2017","Montana","30","4,560","433.3"
"Chlamydia","2016","Montana","30","4,416","424.3"
"Chlamydia","2015","Montana","30","4,184","406.0"
"Primary and Secondary Syphilis","2019","Nebraska","31","136","7.0"
"Primary and Secondary Syphilis","2018","Nebraska","31","119","6.2"
"Primary and Secondary Syphilis","2017","Nebraska","31","43","2.2"
"Primary and Secondary Syphilis","2016","Nebraska","31","67","3.5"
"Primary and Secondary Syphilis","2015","Nebraska","31","45","2.4"
"Gonorrhea","2019","Nebraska","31","2,967","153.4"
"Gonorrhea","2018","Nebraska","31","2,696","140.0"
"Gonorrhea","2017","Nebraska","31","2,653","138.5"
"Gonorrhea","2016","Nebraska","31","2,156","113.1"
"Gonorrhea","2015","Nebraska","31","1,703","90.0"
"Early Non-Primary, Non-Secondary Syphilis","2019","Nebraska","31","46","2.4"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","37","1.9"
"Early Non-Primary, Non-Secondary Syphilis","2017","Nebraska","31","26","1.4"
"Early Non-Primary, Non-Secondary Syphilis","2016","Nebraska","31","19","1.0"
"Early Non-Primary, Non-Secondary Syphilis","2015","Nebraska","31","5","0.3"
"Congenital Syphilis","2019","Nebraska","31","0","0.0"
"Congenital Syphilis","2018","Nebraska","31","0","0.0"
"Congenital Syphilis","2017","Nebraska","31","1","3.9"
"Congenital Syphilis","2016","Nebraska","31","1","3.8"
"Congenital Syphilis","2015","Nebraska","31","0","0.0"
"Chlamydia","2019","Nebraska","31","9,291","480.3"
"Chlamydia","2018","Nebraska","31","8,026","416.8"
"Chlamydia","2017","Nebraska","31","8,595","448.6"
"Chlamydia","2016","Nebraska","31","8,197","430.1"
"Chlamydia","2015","Nebraska","31","7,956","420.7"
"Primary and Secondary Syphilis","2019","Nevada","32","808","26.2"
"Primary and Secondary Syphilis","2018","Nevada","32","682","22.5"
"Primary and Secondary Syphilis","2017","Nevada","32","587","19.8"
"Primary and Secondary Syphilis","2016","Nevada","32","444","15.2"
"Primary and Secondary Syphilis","2015","Nevada","32","335","11.7"
"Gonorrhea","2019","Nevada","32","6,519","211.6"
"Gonorrhea","2018","Nevada","32","6,475","213.9"
"Gonorrhea","2017","Nevada","32","5,520","185.9"
"Gonorrhea","2016","Nevada","32","4,380","150.1"
"Gonorrhea","2015","Nevada","32","3,630","126.6"
"Early Non-Primary, Non-Secondary Syphilis","2019","Nevada","32","522","16.9"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","512","16.9"
"Early Non-Primary, Non-Secondary Syphilis","2017","Nevada","32","498","16.8"
"Early Non-Primary, Non-Secondary Syphilis","2016","Nevada","32","510","17.5"
"Early Non-Primary, Non-Secondary Syphilis","2015","Nevada","32","439","15.3"
"Congenital Syphilis","2019","Nevada","32","41","116.9"
"Congenital Syphilis","2018","Nevada","32","31","86.9"
"Congenital Syphilis","2017","Nevada","32","24","67.1"
"Congenital Syphilis","2016","Nevada","32","12","33.1"
"Congenital Syphilis","2015","Nevada","32","8","22.0"
"Chlamydia","2019","Nevada","32","17,827","578.8"
"Chlamydia","2018","Nevada","32","17,508","578.3"
"Chlamydia","2017","Nevada","32","16,260","547.5"
"Chlamydia","2016","Nevada","32","14,649","502.1"
"Chlamydia","2015","Nevada","32","12,925","450.8"
"Primary and Secondary Syphilis","2019","New Hampshire","33","47","3.5"
"Primary and Secondary Syphilis","2018","New Hampshire","33","64","4.7"
"Primary and Secondary Syphilis","2017","New Hampshire","33","43","3.2"
"Primary and Secondary Syphilis","2016","New Hampshire","33","40","3.0"
"Primary and Secondary Syphilis","2015","New Hampshire","33","40","3.0"
"Gonorrhea","2019","New Hampshire","33","410","30.2"
"Gonorrhea","2018","New Hampshire","33","594","43.9"
"Gonorrhea","2017","New Hampshire","33","513","38.0"
"Gonorrhea","2016","New Hampshire","33","456","34.0"
"Gonorrhea","2015","New Hampshire","33","245","18.3"
"Early Non-Primary, Non-Secondary Syphilis","2019","New Hampshire","33","49","3.6"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","41","3.0"
"Early Non-Primary, Non-Secondary Syphilis","2017","New Hampshire","33","37","2.7"
"Early Non-Primary, Non-Secondary Syphilis","2016","New Hampshire","33","33","2.5"
"Early Non-Primary, Non-Secondary Syphilis","2015","New Hampshire","33","16","1.2"
"Congenital Syphilis","2019","New Hampshire","33","2","16.9"
"Congenital Syphilis","2018","New Hampshire","33","1","8.3"
"Congenital Syphilis","2017","New Hampshire","33","0","0.0"
"Congenital Syphilis","2016","New Hampshire","33","0","0.0"
"Congenital Syphilis","2015","New Hampshire","33","0","0.0"
"Chlamydia","2019","New Hampshire","33","3,577","263.1"
"Chlamydia","2018","New Hampshire","33","3,734","275.9"
"Chlamydia","2017","New Hampshire","33","4,412","327.1"
"Chlamydia","2016","New Hampshire","33","3,467","258.3"
"Chlamydia","2015","New Hampshire","33","3,095","231.6"
"Primary and Secondary Syphilis","2019","New Jersey","34","631","7.1"
"Primary and Secondary Syphilis","2018","New Jersey","34","570","6.4"
"Primary and Secondary Syphilis","2017","New Jersey","34","499","5.6"
"Primary and Secondary Syphilis","2016","New Jersey","34","472","5.3"
"Primary and Secondary Syphilis","2015","New Jersey","34","372","4.2"
"Gonorrhea","2019","New Jersey","34","9,622","108.3"
"Gonorrhea","2018","New Jersey","34","9,067","102.0"
"Gonorrhea","2017","New Jersey","34","9,439","106.2"
"Gonorrhea","2016","New Jersey","34","8,162","92.0"
"Gonorrhea","2015","New Jersey","34","7,228","81.5"
"Early Non-Primary, Non-Secondary Syphilis","2019","New Jersey","34","827","9.3"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","788","8.9"
"Early Non-Primary, Non-Secondary Syphilis","2017","New Jersey","34","865","9.7"
"Early Non-Primary, Non-Secondary Syphilis","2016","New Jersey","34","755","8.5"
"Early Non-Primary, Non-Secondary Syphilis","2015","New Jersey","34","714","8.1"
"Congenital Syphilis","2019","New Jersey","34","15","15.1"
"Congenital Syphilis","2018","New Jersey","34","13","12.8"
"Congenital Syphilis","2017","New Jersey","34","14","13.8"
"Congenital Syphilis","2016","New Jersey","34","12","11.7"
"Congenital Syphilis","2015","New Jersey","34","0","0.0"
"Chlamydia","2019","New Jersey","34","37,591","423.2"
"Chlamydia","2018","New Jersey","34","36,514","410.9"
"Chlamydia","2017","New Jersey","34","35,239","396.6"
"Chlamydia","2016","New Jersey","34","34,519","389.1"
"Chlamydia","2015","New Jersey","34","31,337","353.4"
"Primary and Secondary Syphilis","2019","New Mexico","35","511","24.4"
"Primary and Secondary Syphilis","2018","New Mexico","35","304","14.5"
"Primary and Secondary Syphilis","2017","New Mexico","35","193","9.2"
"Primary and Secondary Syphilis","2016","New Mexico","35","189","9.0"
"Primary and Secondary Syphilis","2015","New Mexico","35","118","5.6"
"Gonorrhea","2019","New Mexico","35","4,886","233.0"
"Gonorrhea","2018","New Mexico","35","5,268","251.7"
"Gonorrhea","2017","New Mexico","35","4,489","214.6"
"Gonorrhea","2016","New Mexico","35","3,516","168.1"
"Gonorrhea","2015","New Mexico","35","2,489","119.1"
"Early Non-Primary, Non-Secondary Syphilis","2019","New Mexico","35","203","9.7"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","161","7.7"
"Early Non-Primary, Non-Secondary Syphilis","2017","New Mexico","35","120","5.7"
"Early Non-Primary, Non-Secondary Syphilis","2016","New Mexico","35","118","5.6"
"Early Non-Primary, Non-Secondary Syphilis","2015","New Mexico","35","71","3.4"
"Congenital Syphilis","2019","New Mexico","35","28","122.0"
"Congenital Syphilis","2018","New Mexico","35","10","43.4"
"Congenital Syphilis","2017","New Mexico","35","1","4.2"
"Congenital Syphilis","2016","New Mexico","35","3","12.1"
"Congenital Syphilis","2015","New Mexico","35","2","7.7"
"Chlamydia","2019","New Mexico","35","14,283","681.2"
"Chlamydia","2018","New Mexico","35","14,000","669.0"
"Chlamydia","2017","New Mexico","35","13,560","648.3"
"Chlamydia","2016","New Mexico","35","13,108","626.7"
"Chlamydia","2015","New Mexico","35","12,632","604.6"
"Primary and Secondary Syphilis","2019","New York","36","2,865","14.7"
"Primary and Secondary Syphilis","2018","New York","36","2,654","13.6"
"Primary and Secondary Syphilis","2017","New York","36","2,355","12.0"
"Primary and Secondary Syphilis","2016","New York","36","2,455","12.5"
"Primary and Secondary Syphilis","2015","New York","36","2,006","10.2"
"Gonorrhea","2019","New York","36","40,901","210.2"
"Gonorrhea","2018","New York","36","37,262","190.8"
"Gonorrhea","2017","New York","36","34,099","174.1"
"Gonorrhea","2016","New York","36","29,000","147.7"
"Gonorrhea","2015","New York","36","25,561","130.1"
"Early Non-Primary, Non-Secondary Syphilis","2019","New York","36","4,376","22.5"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","4,097","21.0"
"Early Non-Primary, Non-Secondary Syphilis","2017","New York","36","3,914","20.0"
"Early Non-Primary, Non-Secondary Syphilis","2016","New York","36","3,504","17.8"
"Early Non-Primary, Non-Secondary Syphilis","2015","New York","36","2,802","14.3"
"Congenital Syphilis","2019","New York","36","27","12.2"
"Congenital Syphilis","2018","New York","36","28","12.4"
"Congenital Syphilis","2017","New York","36","16","7.0"
"Congenital Syphilis","2016","New York","36","13","5.5"
"Congenital Syphilis","2015","New York","36","12","5.1"
"Chlamydia","2019","New York","36","124,622","640.6"
"Chlamydia","2018","New York","36","119,571","612.2"
"Chlamydia","2017","New York","36","116,814","596.3"
"Chlamydia","2016","New York","36","109,433","557.4"
"Chlamydia","2015","New York","36","103,615","527.2"
"Primary and Secondary Syphilis","2019","North Carolina","37","1,122","10.7"
"Primary and Secondary Syphilis","2018","North Carolina","37","1,098","10.6"
"Primary and Secondary Syphilis","2017","North Carolina","37","1,138","11.1"
"Primary and Secondary Syphilis","2016","North Carolina","37","1,082","10.7"
"Primary and Secondary Syphilis","2015","North Carolina","37","1,196","11.9"
"Gonorrhea","2019","North Carolina","37","26,377","251.5"
"Gonorrhea","2018","North Carolina","37","23,725","228.5"
"Gonorrhea","2017","North Carolina","37","22,871","222.7"
"Gonorrhea","2016","North Carolina","37","19,687","193.9"
"Gonorrhea","2015","North Carolina","37","19,809","197.5"
"Early Non-Primary, Non-Secondary Syphilis","2019","North Carolina","37","989","9.4"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","797","7.7"
"Early Non-Primary, Non-Secondary Syphilis","2017","North Carolina","37","771","7.5"
"Early Non-Primary, Non-Secondary Syphilis","2016","North Carolina","37","799","7.9"
"Early Non-Primary, Non-Secondary Syphilis","2015","North Carolina","37","753","7.5"
"Congenital Syphilis","2019","North Carolina","37","27","22.7"
"Congenital Syphilis","2018","North Carolina","37","19","16.0"
"Congenital Syphilis","2017","North Carolina","37","25","20.8"
"Congenital Syphilis","2016","North Carolina","37","18","14.9"
"Congenital Syphilis","2015","North Carolina","37","9","7.4"
"Chlamydia","2019","North Carolina","37","70,257","669.9"
"Chlamydia","2018","North Carolina","37","66,553","641.1"
"Chlamydia","2017","North Carolina","37","62,876","612.3"
"Chlamydia","2016","North Carolina","37","58,006","571.2"
"Chlamydia","2015","North Carolina","37","64,376","641.7"
"Primary and Secondary Syphilis","2019","North Dakota","38","45","5.9"
"Primary and Secondary Syphilis","2018","North Dakota","38","41","5.4"
"Primary and Secondary Syphilis","2017","North Dakota","38","44","5.8"
"Primary and Secondary Syphilis","2016","North Dakota","38","33","4.4"
"Primary and Secondary Syphilis","2015","North Dakota","38","11","1.5"
"Gonorrhea","2019","North Dakota","38","1,447","189.9"
"Gonorrhea","2018","North Dakota","38","1,369","180.6"
"Gonorrhea","2017","North Dakota","38","966","128.0"
"Gonorrhea","2016","North Dakota","38","1,000","132.5"
"Gonorrhea","2015","North Dakota","38","684","90.7"
"Early Non-Primary, Non-Secondary Syphilis","2019","North Dakota","38","10","1.3"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","13","1.7"
"Early Non-Primary, Non-Secondary Syphilis","2017","North Dakota","38","12","1.6"
"Early Non-Primary, Non-Secondary Syphilis","2016","North Dakota","38","12","1.6"
"Early Non-Primary, Non-Secondary Syphilis","2015","North Dakota","38","17","2.3"
"Congenital Syphilis","2019","North Dakota","38","0","0.0"
"Congenital Syphilis","2018","North Dakota","38","0","0.0"
"Congenital Syphilis","2017","North Dakota","38","0","0.0"
"Congenital Syphilis","2016","North Dakota","38","0","0.0"
"Congenital Syphilis","2015","North Dakota","38","0","0.0"
"Chlamydia","2019","North Dakota","38","3,880","509.1"
"Chlamydia","2018","North Dakota","38","3,525","465.0"
"Chlamydia","2017","North Dakota","38","3,278","434.2"
"Chlamydia","2016","North Dakota","38","3,455","458.0"
"Chlamydia","2015","North Dakota","38","3,159","418.9"
"Primary and Secondary Syphilis","2019","Ohio","39","749","6.4"
"Primary and Secondary Syphilis","2018","Ohio","39","740","6.3"
"Primary and Secondary Syphilis","2017","Ohio","39","832","7.1"
"Primary and Secondary Syphilis","2016","Ohio","39","716","6.2"
"Primary and Secondary Syphilis","2015","Ohio","39","560","4.8"
"Gonorrhea","2019","Ohio","39","26,065","223.0"
"Gonorrhea","2018","Ohio","39","25,146","215.4"
"Gonorrhea","2017","Ohio","39","23,967","205.6"
"Gonorrhea","2016","Ohio","39","20,487","176.1"
"Gonorrhea","2015","Ohio","39","16,564","142.6"
"Early Non-Primary, Non-Secondary Syphilis","2019","Ohio","39","519","4.4"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","481","4.1"
"Early Non-Primary, Non-Secondary Syphilis","2017","Ohio","39","454","3.9"
